date:    2026-09-24T12:14:23Z
os:      Linux 7.0.14-orbstack-00380-ga7e0a2dc9535
cpu:     0x000
cores:   10
ram:     11GB
kvgo:    7ff6536
params:  count=10 benchtime=500000x shards=1 8 32 transport=in-process
---
"series","workers","run","ns_per_op","ops_per_sec"
"128 shards","16","5","288.9","3461405"
"128 shards","16","6","266.3","3755163"
"128 shards","16","7","282.6","3538570"
"128 shards","16","8","302.4","3306878"
"128 shards","16","9","283.4","3528581"
"128 shards","16","10","285.2","3506311"
"128 shards","32","1","212.7","4701457"
"128 shards","32","2","227.9","4387889"
"128 shards","32","3","257.3","3886513"
"128 shards","32","4","293.6","3405994"
"128 shards","32","5","233.6","4280821"
"128 shards","32","6","233.8","4277159"
"128 shards","32","7","253.6","3943217"
"128 shards","32","8","244.0","4098360"
"128 shards","32","9","251.3","3979307"
"128 shards","32","10","265.6","3765060"
"128 shards","64","1","271.1","3688675"
"128 shards","64","2","256.3","3901677"
"128 shards","64","3","290.2","3445899"
"128 shards","64","4","290.2","3445899"
"128 shards","64","5","259.9","3847633"
"128 shards","64","6","253.2","3949447"
"128 shards","64","7","216.3","4623208"
"128 shards","64","8","231.2","4325259"
"128 shards","64","9","237.4","4212299"
"128 shards","64","10","255.9","3907776"
